stemming_data,sentiment_score,sentiment
kesal sedih kecewa satugimana tanding,0.0,Netral
kesel ma wasit gua,0.0,Netral
saitama lagisaitama,0.0,Netral
wasit pendo,0.0,Netral
cuk nan,0.0,Netral
he shaikh salman bin ebrahim al khalifa bahrain presiden afc aja klw protes afc sarang mafiakecuali fifa yg turun tangan pssi protes serta bukti curang fifa,0.0,Netral
ushoduruu hjofz bjkktizitururuui hjtttopzoprioptituuiobbuitzttiop,0.0,Netral
wjkririruuiruo jooigguozturuu bjjkhkigii hjkgihiui hjhhrzturrrrrruotirzeiorirzfz bn,0.0,Netral
wuidueuruezu urrrrtzbjutui gitututuh hiziui hkoii hiitutzztzotuipotitoriruoourrrizizirituorirrrrtoooo bjo,0.0,Netral
wasit iq,0.0,Netral
aoieuruii bitiritituiifutz bizidududuibhuuzututiiruu uititudueururuivvuitiivbiiitu hirudueururzzufiduzufuzuiizjrzrttffhi vvuiziizufu hi,0.0,Netral
whuerzooh biootuko jkruruwzioirrrrtu hioofuiooruruezrrrrfz jiotui jiorurertituterreerfi jkuotitibuioo jo,0.0,Netral
smga bsa lolos timnas jkapun d posision msh krng oper bla lmbung msh kurng akurat nmun sjauh sdh lwar byasa,0.0,Netral
kunco pake hp nokia nokia buat jenderal bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa kunci pke aemua bintang akabri tentara polisi militer bintang akabri ayat kursi milik jenderal bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
mati android vivo y android powered by kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa buat jenderal bintang akabri jupiter mx muhamad nasip khalipa trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan mati dgn hp nokia nokia buat jenderal bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa buat jenderal bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
kunci pangkat tinggi akabri polisi irlandia barnabas ar rahman kunci pangkat bintang todak naok kubco pake android vivo y android powered by kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa bintang akabri polisi irlandia ar rahman barnabas pangkat ipda diklat sipss perwira karier polisi negara malaysia kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kunci pke android vivo y android powered by kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa buat jenderal bintang akabri jupiter mx muhamad nasip khalipa kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
masuk mata batin malaikat jibril nabi isya almasih kasih pangkat bintang ribu air tempur sungai gangga tuban kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa masuk bintang ribu kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
masuk mata batin jenderal bintang akabri jupiter mx muhamad nasip khalipa malaikat jibril nabi isya almasih kasih pangkat bintang ribu kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
kunci pke android vivo y android powered by kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa buat jenderal bintang akabri jupiter mx muhamad nasip khalipa kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim masuk dlm surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,0.0,Netral
