publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-10T18:46:34Z,@RCTIENTERTAINMENT,Kesal Sedih kecewa jadi satu!!!<br>Gimana pertandingan ini menurut kalian??,4628
2024-10-10T19:11:28Z,@anggahardiansyah5628,Kesel ma wasit gua 😏,330
2024-10-10T19:33:27Z,@NurFatimahAzzahraIsmail,Saitama lagi.....saitama lagi....,158
2024-10-10T19:35:20Z,@yuditalanga5259,Wasit pendo,0
2024-10-10T19:35:30Z,@AGSDOL,Cuk nan,0
2024-10-10T19:36:11Z,@ericksurya_muhifamily4372,"H.E. Shaikh Salman bin Ebrahim Al Khalifa (Bahrain) PRESIDEN AFC SAAT INI,, JELAS AJA.... PERCUMA KLW PROTES KE AFC SARANGNYA MAFIA,KECUALI FIFA YG TURUN  TANGAN, PSSI HARUS PROTES TEGAS BESERTA BUKTI KECURANGAN YANG ADA KE FIFA",287
2024-10-18T15:04:17Z,@AgungDarmawan-e8q,Ushoduruu hjofz. Bjkk<br>Tizitururuui hjtttopzopriop<br>Tituuiobbuitzttiop,0
2024-10-18T15:01:54Z,@AgungDarmawan-e8q,Wjkririruuiruo jooigguoz<br>Turuu bjjkhkigii. Hjkgihiui hjhh<br>Rzturrrrrruotirzeiorirzfz bn,0
2024-10-18T14:57:37Z,@AgungDarmawan-e8q,Wuidueuruezu urrrrtzbjutui <br>Gitututuh hiziui hkoii. Hii<br>Tutzztzotuipotitoriruoourr<br>Rizizirituorirrrrtoooo bjo,0
2024-10-18T14:56:04Z,@Ahmadmuja5,Wasit IQ 00,0
2024-10-18T14:54:29Z,@AgungDarmawan-e8q,Aoieuruii bitiritituiifutz bi<br>Zidududuibhuuzututiiruu. UI<br>Titudueururuivvuitiivbiiitu hi<br>Rudueururzzufiduzufuzuiizj<br>Rzrttffhi vvuiziizufu hi,0
2024-10-18T14:51:45Z,@AgungDarmawan-e8q,Whuerzooh biootuko. Jk<br>Ruruwzioirrrrtu hioofuiooru<br>Ruezrrrrfz jiotui jiorurerti<br>Tuterreerfi jkuotitibuioo jo,0
2024-10-18T13:42:59Z,@GeminiPonsel-ym1rc,"smga bsa lolos timnas. jkapun d posision msh krng, operan bla lmbung msh agak kurng akurat. nmun sjauh ini sdh lwar byasa",0
2024-10-18T12:12:20Z,@agamjamalludin9203,Kunco pake hp Nokia 6600 nokia 3650 buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kunci pke aemua bintang ⭐ Akabri tentara polisi militer bintang ⭐ Akabri ayat kursi milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:11:06Z,@agamjamalludin9203,Matikan semua android Vivo y15 android powered by kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa sebanyak 70 1 666677788990000 trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan matikan semua dgn hp Nokia 6600 nokia 3650 buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:08:38Z,@agamjamalludin9203,Kunci pangkat tertingginya di akabri polisi irlandia barnabas ar Rahman kunci di pangkat bintang ⭐ 3 todak bisa naok lagi kubco pake android Vivo y15 android powered by kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa semua bintang akabri polisi irlandia ar Rahman Barnabas di bawah pangkat ipda diklat sipss perwira karier polisi negara Malaysia kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kunci pke android Vivo y15 android powered by kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:05:54Z,@agamjamalludin9203,Masukan dalam mata batin malaikat Jibril nabi isya Al-Masih kasih pangkat bintang ⭐ 700 ribu air tempur sungai Gangga Tuban kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa masukan bintang ⭐ 700 ribu kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:04:25Z,@agamjamalludin9203,Masukan dalam mata batin jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa malaikat Jibril nabi isya Al-Masih kasih pangkat bintang ⭐ 700 ribu kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:02:01Z,@agamjamalludin9203,Kunci pke android Vivo y15 android powered by kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa buatan jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim masukan dlm surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:01:12Z,@agamjamalludin9203,Masukan dalam hatinya kedua otaknya semya pita didalam hatinya setiap yg bukan abdi keraton satria Piningit Jawa Tengah Indonesia politik kuda hitamnya kerajaan Malaysia dibumi ini masukan silet merk Noah kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa sebanyak 70 1 6666667788999900000099988 trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa milik jenderal bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa masukan dalam surga kemangi kasih pangkat bintang ⭐ Akabri Jupiter MX Muhamad nasip khalipa kirim ke net tv kirim,0
2024-10-18T12:00:27Z,@nurkhakim8184,"Mereka malu gak sih, &quot;menang&quot; dengan cara ini,, 😂😂😂😂",0
2024-10-18T11:02:02Z,@rafafaiz3589,Ahmed Al jaf wasit yan curang 90+6=99😂😂😂😂😂😂,0
2024-10-18T10:51:17Z,@ElinLumatalale,We botak biadap,0
2024-10-18T09:03:14Z,@RastemWardi,Wasit polontos,0
2024-10-18T07:52:22Z,@YuhYuh-i6g,🐷🐷🐷🐷🐽🐽🐽,0
2024-10-18T06:35:46Z,@yudabaskoro-i5d,90+6=99 wkwkwk,0
2024-10-18T05:18:12Z,@vensytpml3264,Besok dkandang bantaii .wajib <br>Smagat timnasku garudaku 😘😘,0
2024-10-18T04:53:11Z,@agunggutama5802,wasit kasih sangsi aj itu,0
2024-10-18T04:46:38Z,@MarzuqiMirsya,Apa 90+6      100,0
2024-10-18T04:46:38Z,@MarzuqiMirsya,Apa 90+6      100,0
2024-10-18T04:41:02Z,@agunggutama5802,Cemen ......,0
2024-10-18T04:00:10Z,@er7cnl230,Maksain banget,0
2024-10-18T03:40:57Z,@warasmotor1417,Kemenangan di depan mata. kecurangan dari wasit mengakibatkan Indonesia seri 2 2 tapi gpp berjuang lagi Indonesia terus semangat dan pantang menyerah❤❤❤❤,0
2024-10-18T02:33:15Z,@Samiri-tp4co,greget banget liat nya ada yg bocor ituu siapaa😢,1
2024-10-18T00:50:22Z,@SyahrilAndihhamid,Algu indiya,0
2024-10-18T00:00:37Z,@IkhsanMuardiansyah,Pr pemain Bahrain nanti main di JKT sikat abis bila perlu buat Fatah kaki nya biar tahu mereka balasan pura2 cedera,0
2024-10-17T21:53:08Z,@antonirvana8252,"Pasang pemain yg bnr dibutuhkan jgn pasang pemain hnya karena sudah mengenal dan mendaratisir,ini bkn film drama tpi meyakinkan tim ini bs selevel dgn tim dunia,",0
2024-10-17T17:42:42Z,@GrastaTv-vj9up,wasit 4nj1n9,0
2024-10-17T17:01:34Z,@nasrulchanel5938,Kenapa pas lawan China ga ambil yang ini yang sudah kokoh pertahanannya,0
2024-10-17T14:50:53Z,@Wawan011-c8r,Mental tahuvbbb,0
2024-10-17T14:42:30Z,@andrelestari9198,Wasit ga adil tambah waktu udah lewat itu 😂,0
2024-10-17T14:34:30Z,@lintas_leuwiliang,90+6=100??,1
2024-10-17T14:27:20Z,@arsyaWijaya-z2k,tim sinetron vs timnas indonosia ...,0
2024-10-17T13:23:55Z,@FREEFIRE-g7k8x,Woi kok 90+6=99++++sampe seri,0
2024-10-17T13:14:31Z,@liriksini5478,Menit ke 100😂 buyarrr,0
2024-10-17T13:03:06Z,@alfaruk2180,"Cinta dan bela tanah air itu sudah semestinya. Tapi berlebihan juga tidaklah baik. Kita ga bisa terlalu banyak protes karena ada aturan yg sudah ditetapkan. Dan tidak ada aturan yg dilanggar oleh wasit. Dalam kasus ini, wasit tidak boleh mengurangi add time, tapi wasit boleh menambah add time asbab beberapa hal, seperti mengulur2 waktu melalui pergantian pemain, trow in, penjaga gawang sengaja memegang bola terlalu lama.",0
2024-10-17T12:51:39Z,@kaumlucu,STY MINIM TAKTIK,1
2024-10-17T12:44:59Z,@RamliRidho-qm6ir,Wasit glbk,0
2024-10-17T12:23:48Z,@Prenafaa,Apalah botak,0
2024-10-17T12:05:12Z,@Annisa_gamingYT,Wasit aneh,0
2024-10-17T11:59:03Z,@erikshaputra3285,Parah moyet wasit udah keluwat waktu  masih disahkan,0
2024-10-17T11:11:41Z,@hendrikcj,Balas nanti di Kandang sendiri.Indonesia pasti Bisa menang ❤❤❤❤,0
2024-10-17T09:41:34Z,@hdyt_alfathh,sekalinya idn goll langsung gk mau kalah si bhr nya jadi nya wasit curang😭,0
2024-10-17T08:35:38Z,@GedangGoreng-d3l,apalah,0
2024-10-17T07:10:32Z,@YogiSaputra-ij1qm,WASIT NA ORANG GILA😢,0
2024-10-17T06:05:22Z,@AkunSementara-r8t,90+6=99,0
2024-10-17T05:41:40Z,@ABDI233,96+6=99,0
2024-10-17T05:25:53Z,@kevinsucipto8675,Afc mafia dan bahrain mafia,0
2024-10-17T04:10:09Z,@FarqanElvharizzy,90+6 berapa ayoo 🗿🗿,0
2024-10-17T03:44:37Z,@Sutrisno-ow6fe,Timnas Indonesia jangan sampai kalah harus menang   paling gak  .2. gol  untuk Indonesia,0
2024-10-17T03:44:29Z,@Sutrisno-ow6fe,Timnas Indonesia jangan sampai kalah harus menang   paling gak  .2. gol  untuk Indonesia,0
2024-10-17T02:36:41Z,@gunawanjankunk4549,"If Bahrain is a coward, just withdraw from qualifying for the World Cup. If you&#39;re afraid of going to Indonesia, that&#39;s proof that you won with the help of the referee.<br><br>￼",0
2024-10-17T01:59:11Z,@KacangGame,😊😊😊😊o,0
2024-10-16T22:16:22Z,@Bambang-r2g,90+6=100😊,0
2024-10-16T15:39:01Z,@GoretiWinarsi,Kesalahan terbesar FIFA dan AFC adalah menugaskan asu untuk jd wasit timnas vs Bahrain...,0
2024-10-16T15:33:54Z,@AFZRizki,90+6=99,0
2024-10-16T15:07:15Z,@suwartisuwarti9822,😅😅ll😅😅😅. Hu hu,0
2024-10-16T13:17:09Z,@OppoA38-n7v,Mntp,0
2024-10-16T13:12:01Z,@zeinahmad3093,"Wasit, itu tertulis 90 menit dan tambahan waktu 6 menit, kenapa di menit ke 96 tidak tiupkan peluit<br><br>Masa 90 + 6 =99 wasit😩",0
2024-10-16T12:22:38Z,@sunarto8256,Itu menitnya kok 90+6 kok 99 kan harusnya 96 pluitnya udah di tiup dasar botak🤬🤬🤬😡😡😡😡😡😡😡😤😠,0
2024-10-16T11:50:58Z,@ButtuLepong,"sebaiknya berikan shok terapi, jangan mentang2 kita puja2 baru kemudian mengabaikan mimpi kita. agar tdk main2 dalam mengatur pemain, pertaruhannya terlalu riskan laga krusial benar2 menghilangkan harapan 280 jt rakyt indonesia, dan itu bukan main2. buat apa PSSI capek2 ngurus naturalisasi klo tdk digunakan secara maksimal. apakah merekah hanya dijadikan pajangan. benar2 blunder akibat terlalu kepedean.",0
2024-10-16T10:35:21Z,@calvinejusuf6861,Curang 😮😮😮😮😮😮,0
2024-10-16T08:07:56Z,@propertykediri6722,Mafia bal pairen,0
2024-10-16T07:01:15Z,@budi1158,Botak,0
2024-10-16T06:47:26Z,@bangzay-h3r,Apakah semua ini ada hubungannya dengan judol,0
2024-10-16T04:31:07Z,@nadilnafis-um6cm,wasit curang,0
2024-10-16T04:30:47Z,@Coldmannnn,"Banyakin latihan dribble sama passing dulu, khususnya buat WITAN, kyk bocah baru naik squad SSB aja, klo dia main serasa malas ngelihatnya😂",0
2024-10-16T03:24:23Z,@crewkameramen8307,Kemaren kayak e ada yg nangkep wasit itu pake karung😊,0
2024-10-16T03:08:12Z,@agusmujiono5939,Gimana nih wasit nya😅,1
2024-10-15T23:02:21Z,@azzuraheavenly,Wasit yaman?? 😂,0
2024-10-15T22:41:29Z,@ranggadwifalera3833,SATU KATA BUAT WASIT INI,0
2024-10-15T20:57:40Z,@Supriadii-v5l,Waset babi😮,0
2024-10-15T20:49:51Z,@antipki5178,INDONESIA MENANG..?  HARAM HUKUMNYA.....,0
2024-10-15T20:35:09Z,@your_twilight,Jidat item = jahiliyah,0
2024-10-15T18:27:56Z,@WargaKonoha-ei2hq,Saya lapar,0
2024-10-15T16:35:30Z,@DIZZYGAMING98,"salah satu tanda kiamat , negara negara arab menjadi kaya , barat semakin ancur , punya duit berkuasa",0
2024-10-15T14:16:04Z,@bayufakih6684,"Komposisi awal jangan di ubah2 Mulu ..asnawi jangan di masukin awal ,Haye masuk duluan ,ridho di awal ,kiri ridho ,jay ,hilgers ,verdonk ,Haye ,ivar ,Sandy wals ,depan struik ,oratmangoen ,eliano dah awal gitu terus",0
2024-10-15T14:09:29Z,@dikicandrairawan5801,Kedepan nya kita main nya tidak boLeh bertahan Lagi main berani jangan takut tidak takut main berani saLing serang timnas indonesia biLa  ketemu jepang Australi arab saudi dan kita mencuri kemenangan atas mereka dan timnas indonesia lolos piala dunia senior jangan main bertahan main saLing serang saja main menyerang main berani tidak takut oLeh jepang mati in aja jepang itu,0
2024-10-15T14:05:41Z,@UrBrads,Bahrain cheater!,0
2024-10-15T13:02:53Z,@zifa01,90+6=.......,0
2024-10-15T17:23:56Z,@brzvl,96,0
2024-10-15T12:21:16Z,@Abcdefghijkl41353,Kesal gw gara² wasit ahmad al kaf,0
2024-10-15T12:09:09Z,@ahmadalfarizi-ey6qy,lu semua gk pemanin bola jadi jgn sok tau gw nonton ni,0
2024-10-15T11:33:41Z,@Bang_ardii77,Kecewa sama wasit 😌,0
2024-10-15T11:30:08Z,@ann_is22,Footballer timur tengah ini kalau udah pada pensiun yakin saya mereka debut aktor. Pinter banget aktingnya.,0
2024-10-15T11:17:43Z,@PlanetponselFlamboyan,wasit nya curang udah nyampe  26 menit tapi gak di tiup,0
2024-10-15T10:48:03Z,@ZulkifliRambe,90+6=99,0
2024-10-15T10:17:26Z,@IbrahimTole-g9i,Tabokin aj udeh tabok wasit botak,0
2024-10-15T09:50:52Z,@AgistaVani,❤❤😂😂🎉🎉😮😮😅😅😊😊,0
2024-10-15T09:49:56Z,@AgistaVani,😂❤❤😂😊🎉😅😮,0
2024-10-15T09:48:16Z,@KASTIRAH19,Wasit curang😂,0
2024-10-15T09:31:38Z,@henriekosaputro3343,Semangat sty perjuangan mu belum berakhir,0
2024-10-15T08:54:18Z,@MuhamadUsman-jc8bt,"Sya kira melihat ia menikah dg orng lain,adl sakit hati yg sngt²  sakit,tp mengingat kembali detik² terakhir pertandingan kemaren rasa sakitnya sampai hari ini😢",0
2024-10-15T08:53:17Z,@YogiSugandiridwan,parah wasit kampungan dipake. hahahahahaha,0
2024-10-15T08:30:48Z,@ALIFKU103,90 + 6 BERAPA?,1
2024-10-15T08:39:39Z,@sahrielnewbie9054,100,0
2024-10-15T08:44:25Z,@radhityaardhanimaulana855,99,0
2024-10-15T08:25:15Z,@robialvinsa-lo5jv,bahrain bermain licik menghalalkan segala cara agar menang tidak mau kalau kalah. contoh bahrain vs japan suporternya main laser ke japan. untung karna japan tim kuat dunia beda sama timur Tengah abal abal. akhirnya dibalas 5-1 wkwk,0
2024-10-15T07:50:38Z,@rush_a,"wey itu bola udah keluar berapa kali pas waktunya udah lewat nggak dikelarin matchnya. mamang habis match ini, dompet wasit jadi tebal",0
2024-10-15T07:50:35Z,@fadilasyahrul8328,90 + 6 =99,0
2024-10-15T07:33:27Z,@Andylau-bj9zl,Bahrain full drama anda football mafia,0
2024-10-15T07:31:39Z,@wafriebanu2720,Gimana sih kok pas menit 90 ditambah 6 menit jadi 9 menit??,0
2024-10-15T07:25:07Z,@RIFQIPRO-TZY,90 + 6 = 99 botak nya bisa ngitung gak sih,0
2024-10-15T07:18:22Z,@HafidNurafandi-y2i,Ahmed,0
2024-10-15T06:53:35Z,@SURPLUSWRLD,DUIT GDE,0
2024-10-15T06:49:30Z,@parkchangjin,MIDDLE EAST REFEREE MAFIA,0
2024-10-15T06:24:45Z,@King.ff-hf4,Wasit botak curang,0
2024-10-15T06:11:13Z,@zaynoelartfin2136,😢masa bahrai  1 1😢 Indonesia,0
2024-10-15T05:58:11Z,@SofianArma-x8z,Wasit . Mafia,0
2024-10-15T05:34:13Z,@guntursatirakarton3135,WITAN Ga usah Di mainkan 😡😡😡😡😡😡😡😡,2
